file:///D:/documents/Programming/maui/maui-gui/videos/velocityType1.AVI,frame number,time(seconds),xLocation,peak positive(pixels),mean positive(pixels),mean negative(pixels),peak negative(pixels),peak all(pixels), mean all(pixels),peak positive(cm/s),mean positive(cm/s),mean negative(cm/s),peak negative(cm/s),peak all(cm/s),mean all(cm/s)
,22,0.6,78,32,19,0,0,32,19,17.0213,10.1064,0,0,17.0213,10.1064
,23,0.628571,79,32,19,0,0,32,19,17.0213,10.1064,0,0,17.0213,10.1064
,23,0.628571,80,33,21,0,0,33,21,17.5532,11.1702,0,0,17.5532,11.1702
,23,0.628571,81,33,21,0,0,33,21,17.5532,11.1702,0,0,17.5532,11.1702
,23,0.628571,82,33,19,0,0,33,19,17.5532,10.1064,0,0,17.5532,10.1064
,24,0.657143,83,34,20,0,0,34,20,18.0851,10.6383,0,0,18.0851,10.6383
,24,0.657143,83.6667,34,21,0,0,34,21,18.0851,11.1702,0,0,18.0851,11.1702
,24,0.657143,84.3333,34,21,0,0,34,21,18.0851,11.1702,0,0,18.0851,11.1702
,24,0.657143,85,34,21,0,0,34,21,18.0851,11.1702,0,0,18.0851,11.1702
,25,0.685714,86,34,21,0,0,34,21,18.0851,11.1702,0,0,18.0851,11.1702
,25,0.685714,87,34,22,0,0,34,22,18.0851,11.7021,0,0,18.0851,11.7021
,25,0.685714,88,35,23,0,0,35,23,18.617,12.234,0,0,18.617,12.234
,25,0.685714,89,33,22,0,0,33,22,17.5532,11.7021,0,0,17.5532,11.7021
,26,0.714286,90,34,22,0,0,34,22,18.0851,11.7021,0,0,18.0851,11.7021
,26,0.714286,90.6667,36,23,0,0,36,23,19.1489,12.234,0,0,19.1489,12.234
,26,0.714286,91.3333,36,23,0,0,36,23,19.1489,12.234,0,0,19.1489,12.234
,26,0.714286,92,35,21,0,0,35,21,18.617,11.1702,0,0,18.617,11.1702
,27,0.742857,93,32,18,0,0,32,18,17.0213,9.57447,0,0,17.0213,9.57447
,27,0.742857,94,34,20,0,0,34,20,18.0851,10.6383,0,0,18.0851,10.6383
,27,0.742857,95,34,22,0,0,34,22,18.0851,11.7021,0,0,18.0851,11.7021
,27,0.742857,96,33,20,0,0,33,20,17.5532,10.6383,0,0,17.5532,10.6383
,28,0.771429,97,32,19,0,0,32,19,17.0213,10.1064,0,0,17.0213,10.1064
,28,0.771429,97.6667,32,20,0,0,32,20,17.0213,10.6383,0,0,17.0213,10.6383
,28,0.771429,98.3333,32,20,0,0,32,20,17.0213,10.6383,0,0,17.0213,10.6383
,28,0.771429,99,31,19,0,0,31,19,16.4894,10.1064,0,0,16.4894,10.1064
,29,0.8,100,31,19,0,0,31,19,16.4894,10.1064,0,0,16.4894,10.1064
,29,0.8,101,31,18,0,0,31,18,16.4894,9.57447,0,0,16.4894,9.57447
,29,0.8,102,31,20,0,0,31,20,16.4894,10.6383,0,0,16.4894,10.6383
,29,0.8,103,30,19,0,0,30,19,15.9574,10.1064,0,0,15.9574,10.1064
,30,0.828571,104,29,19,0,0,29,19,15.4255,10.1064,0,0,15.4255,10.1064
,30,0.828571,104.667,29,19,0,0,29,19,15.4255,10.1064,0,0,15.4255,10.1064
,30,0.828571,105.333,29,19,0,0,29,19,15.4255,10.1064,0,0,15.4255,10.1064
,30,0.828571,106,29,19,0,0,29,19,15.4255,10.1064,0,0,15.4255,10.1064
,31,0.857143,107,29,19,0,0,29,19,15.4255,10.1064,0,0,15.4255,10.1064
,31,0.857143,108,30,20,0,0,30,20,15.9574,10.6383,0,0,15.9574,10.6383
,31,0.857143,109,30,19,0,0,30,19,15.9574,10.1064,0,0,15.9574,10.1064
,31,0.857143,110,30,19,0,0,30,19,15.9574,10.1064,0,0,15.9574,10.1064
,32,0.885714,111,31,20,0,0,31,20,16.4894,10.6383,0,0,16.4894,10.6383
,32,0.885714,111.667,31,20,0,0,31,20,16.4894,10.6383,0,0,16.4894,10.6383
,32,0.885714,112.333,31,20,0,0,31,20,16.4894,10.6383,0,0,16.4894,10.6383
,32,0.885714,113,33,22,0,0,33,22,17.5532,11.7021,0,0,17.5532,11.7021
,33,0.914286,114,40,25,0,0,40,25,21.2766,13.2979,0,0,21.2766,13.2979
,33,0.914286,115,49,31,0,0,49,31,26.0638,16.4894,0,0,26.0638,16.4894
,33,0.914286,116,62,37,0,0,62,37,32.9787,19.6809,0,0,32.9787,19.6809
,33,0.914286,117,74,46,0,0,74,46,39.3617,24.4681,0,0,39.3617,24.4681
,34,0.942857,118,85,53,0,0,85,53,45.2128,28.1915,0,0,45.2128,28.1915
